,Attack,Iterations,Epsilon,Alpha,mIoU_mAcc,aAcc,mIoU,mAcc
34,cospgd,3,1,0.01,11.88 / 20.43,41.87,11.88,20.43
35,cospgd,3,1,0.01,11.84 / 20.4,41.72,11.84,20.4
66,pgd,3,1,0.01,14.11 / 22.58,49.66,14.11,22.58
116,segpgd,3,1,0.01,10.84 / 17.74,42.14,10.84,17.74
56,cospgd,5,1,0.01,12.25 / 21.08,39.64,12.25,21.08
73,pgd,5,1,0.01,13.13 / 20.74,47.08,13.13,20.74
137,segpgd,5,1,0.01,10.77 / 17.61,40.26,10.77,17.61
138,segpgd,5,1,0.01,10.85 / 17.62,40.29,10.85,17.62
22,cospgd,10,1,0.01,11.33 / 20.02,36.28,11.33,20.02
105,segpgd,10,1,0.01,10.71 / 17.43,38.56,10.71,17.43
46,cospgd,20,1,0.01,11.58 / 20.39,35.7,11.58,20.39
81,segpgd,40,1,0.01,10.78 / 17.53,36.61,10.78,17.53
11,cospgd,100,1,0.01,11.33 / 20.06,35.29,11.33,20.06
93,segpgd,100,1,0.01,10.58 / 17.37,35.93,10.58,17.37
38,cospgd,3,2,0.01,5.37 / 10.06,22.51,5.37,10.06
68,pgd,3,2,0.01,8.45 / 14.44,37.46,8.45,14.44
59,cospgd,5,2,0.01,3.75 / 7.26,14.82,3.75,7.26
74,pgd,5,2,0.01,6.62 / 11.49,30.68,6.62,11.49
141,segpgd,5,2,0.01,4.88 / 8.68,22.95,4.88,8.68
25,cospgd,10,2,0.01,2.18 / 4.3,9.22,2.18,4.3
108,segpgd,10,2,0.01,3.69 / 6.56,16.43,3.69,6.56
48,cospgd,20,2,0.01,1.87 / 3.55,7.12,1.87,3.55
128,segpgd,20,2,0.01,2.91 / 5.18,11.94,2.91,5.18
4,cospgd,40,2,0.01,1.68 / 3.01,5.52,1.68,3.01
84,segpgd,40,2,0.01,2.41 / 4.49,9.51,2.41,4.49
14,cospgd,100,2,0.01,1.37 / 2.46,5.18,1.37,2.46
96,segpgd,100,2,0.01,2.19 / 4.02,7.54,2.19,4.02
29,cospgd,3,3,0.01,2.58 / 5.06,12.73,2.58,5.06
112,segpgd,3,3,0.01,4.18 / 7.65,21.97,4.18,7.65
51,cospgd,5,3,0.01,1.34 / 2.86,5.18,1.34,2.86
72,pgd,5,3,0.01,4.09 / 7.54,22.21,4.09,7.54
132,segpgd,5,3,0.01,2.67 / 5.06,14.1,2.67,5.06
100,segpgd,10,3,0.01,1.51 / 3.04,7.49,1.51,3.04
41,cospgd,20,3,0.01,0.2 / 0.41,0.97,0.2,0.41
121,segpgd,20,3,0.01,0.96 / 2.02,4.26,0.96,2.02
76,segpgd,40,3,0.01,0.77 / 1.77,3.01,0.77,1.77
8,cospgd,100,3,0.01,0.17 / 0.33,0.79,0.17,0.33
88,segpgd,100,3,0.01,0.68 / 1.45,2.25,0.68,1.45
40,cospgd,3,4,0.01,1.66 / 3.45,8.76,1.66,3.45
71,pgd,3,4,0.01,5.11 / 9.48,27.16,5.11,9.48
120,segpgd,3,4,0.01,3.29 / 6.15,18.38,3.29,6.15
62,cospgd,5,4,0.01,0.55 / 1.28,2.1,0.55,1.28
75,pgd,5,4,0.01,2.94 / 5.63,17.56,2.94,5.63
144,segpgd,5,4,0.01,1.83 / 3.7,10.28,1.83,3.7
28,cospgd,10,4,0.01,0.09 / 0.22,0.45,0.09,0.22
111,segpgd,10,4,0.01,0.89 / 1.9,4.61,0.89,1.9
131,segpgd,20,4,0.01,0.47 / 1.18,2.15,0.47,1.18
7,cospgd,40,4,0.01,0.05 / 0.09,0.18,0.05,0.09
87,segpgd,40,4,0.01,0.3 / 0.86,1.28,0.3,0.86
17,cospgd,100,4,0.01,0.04 / 0.06,0.12,0.04,0.06
99,segpgd,100,4,0.01,0.26 / 0.68,0.83,0.26,0.68
32,cospgd,3,5,0.01,1.28 / 2.76,6.92,1.28,2.76
65,pgd,3,5,0.01,4.3 / 8.02,24.72,4.3,8.02
115,segpgd,3,5,0.01,2.8 / 5.43,16.36,2.8,5.43
54,cospgd,5,5,0.01,0.32 / 0.8,1.1,0.32,0.8
135,segpgd,5,5,0.01,1.44 / 3.07,8.32,1.44,3.07
20,cospgd,10,5,0.01,0.02 / 0.06,0.11,0.02,0.06
103,segpgd,10,5,0.01,0.62 / 1.5,3.38,0.62,1.5
44,cospgd,20,5,0.01,0.02 / 0.03,0.05,0.02,0.03
124,segpgd,20,5,0.01,0.33 / 0.93,1.55,0.33,0.93
79,segpgd,40,5,0.01,0.2 / 0.63,0.7,0.2,0.63
91,segpgd,100,5,0.01,0.12 / 0.44,0.49,0.12,0.44
30,cospgd,3,6,0.01,1.11 / 2.39,5.93,1.11,2.39
63,pgd,3,6,0.01,3.97 / 7.5,23.41,3.97,7.5
113,segpgd,3,6,0.01,2.64 / 5.1,14.97,2.64,5.1
52,cospgd,5,6,0.01,0.18 / 0.52,0.71,0.18,0.52
133,segpgd,5,6,0.01,1.22 / 2.71,7.03,1.22,2.71
18,cospgd,10,6,0.01,0.01 / 0.04,0.04,0.01,0.04
101,segpgd,10,6,0.01,0.47 / 1.24,2.78,0.47,1.24
42,cospgd,20,6,0.01,0.0 / 0.01,0.0,0.0,0.01
122,segpgd,20,6,0.01,0.21 / 0.7,0.98,0.21,0.7
0,cospgd,40,6,0.01,0.0 / 0.0,0.01,0.0,0.0
77,segpgd,40,6,0.01,0.13 / 0.49,0.58,0.13,0.49
9,cospgd,100,6,0.01,0.0 / 0.0,0.0,0.0,0.0
89,segpgd,100,6,0.01,0.09 / 0.35,0.37,0.09,0.35
33,cospgd,3,7,0.01,1.02 / 2.21,5.31,1.02,2.21
55,cospgd,5,7,0.01,0.12 / 0.37,0.44,0.12,0.37
136,segpgd,5,7,0.01,0.98 / 2.24,6.45,0.98,2.24
21,cospgd,10,7,0.01,0.0 / 0.01,0.03,0.0,0.01
104,segpgd,10,7,0.01,0.42 / 1.21,2.32,0.42,1.21
45,cospgd,20,7,0.01,0.0 / 0.0,0.01,0.0,0.0
125,segpgd,20,7,0.01,0.19 / 0.67,0.93,0.19,0.67
80,segpgd,40,7,0.01,0.1 / 0.45,0.5,0.1,0.45
92,segpgd,100,7,0.01,0.06 / 0.27,0.28,0.06,0.27
39,cospgd,3,8,0.01,0.98 / 2.21,5.02,0.98,2.21
69,pgd,3,8,0.01,3.38 / 6.48,21.58,3.38,6.48
119,segpgd,3,8,0.01,2.31 / 4.54,13.22,2.31,4.54
60,cospgd,5,8,0.01,0.08 / 0.25,0.39,0.08,0.25
142,segpgd,5,8,0.01,0.9 / 2.06,5.9,0.9,2.06
26,cospgd,10,8,0.01,0.0 / 0.02,0.02,0.0,0.02
109,segpgd,10,8,0.01,0.33 / 1.03,2.04,0.33,1.03
49,cospgd,20,8,0.01,0.0 / 0.0,0.0,0.0,0.0
129,segpgd,20,8,0.01,0.15 / 0.61,0.76,0.15,0.61
5,cospgd,40,8,0.01,0.0 / 0.0,0.0,0.0,0.0
85,segpgd,40,8,0.01,0.09 / 0.35,0.46,0.09,0.35
15,cospgd,100,8,0.01,0.0 / 0.0,0.0,0.0,0.0
97,segpgd,100,8,0.01,0.05 / 0.28,0.25,0.05,0.28
37,cospgd,3,9,0.01,0.86 / 1.94,4.36,0.86,1.94
118,segpgd,3,9,0.01,2.15 / 4.24,12.46,2.15,4.24
58,cospgd,5,9,0.01,0.12 / 0.36,0.4,0.12,0.36
140,segpgd,5,9,0.01,0.83 / 2.0,5.69,0.83,2.0
24,cospgd,10,9,0.01,0.0 / 0.0,0.01,0.0,0.0
107,segpgd,10,9,0.01,0.38 / 1.1,1.84,0.38,1.1
127,segpgd,20,9,0.01,0.14 / 0.53,0.71,0.14,0.53
3,cospgd,40,9,0.01,0.0 / 0.0,0.0,0.0,0.0
83,segpgd,40,9,0.01,0.08 / 0.36,0.38,0.08,0.36
13,cospgd,100,9,0.01,0.0 / 0.0,0.0,0.0,0.0
95,segpgd,100,9,0.01,0.05 / 0.27,0.25,0.05,0.27
36,cospgd,3,10,0.01,0.81 / 1.82,4.12,0.81,1.82
67,pgd,3,10,0.01,3.29 / 6.28,20.96,3.29,6.28
117,segpgd,3,10,0.01,1.91 / 3.88,12.03,1.91,3.88
57,cospgd,5,10,0.01,0.11 / 0.41,0.32,0.11,0.41
139,segpgd,5,10,0.01,0.89 / 2.09,5.42,0.89,2.09
