,Attack,Iterations,Epsilon,Alpha,mIoU_mAcc,aAcc,mIoU,mAcc
34,pgd,3,1,0.01,14.11 / 22.58,49.66,14.11,22.58
36,pgd,3,2,0.01,8.45 / 14.44,37.46,8.45,14.44
39,pgd,3,4,0.01,5.11 / 9.48,27.16,5.11,9.48
33,pgd,3,5,0.01,4.3 / 8.02,24.72,4.3,8.02
31,pgd,3,6,0.01,3.97 / 7.5,23.41,3.97,7.5
37,pgd,3,8,0.01,3.38 / 6.48,21.58,3.38,6.48
35,pgd,3,10,0.01,3.29 / 6.28,20.96,3.29,6.28
38,pgd,3,11,0.01,3.22 / 6.02,20.73,3.22,6.02
32,pgd,3,12,0.01,3.16 / 5.95,20.65,3.16,5.95
54,pgd,5,1,0.01,13.13 / 20.74,47.08,13.13,20.74
57,pgd,5,2,0.01,6.62 / 11.49,30.68,6.62,11.49
50,pgd,5,3,0.01,4.09 / 7.54,22.21,4.09,7.54
59,pgd,5,4,0.01,2.94 / 5.63,17.56,2.94,5.63
53,pgd,5,5,0.01,2.53 / 5.01,15.27,2.53,5.01
51,pgd,5,6,0.01,2.05 / 4.1,13.37,2.05,4.1
58,pgd,5,8,0.01,1.76 / 3.63,12.35,1.76,3.63
56,pgd,5,9,0.01,1.8 / 3.68,11.86,1.8,3.68
55,pgd,5,10,0.01,1.74 / 3.58,12.17,1.74,3.58
52,pgd,5,12,0.01,1.49 / 2.98,11.92,1.49,2.98
24,pgd,10,1,0.01,12.52 / 19.91,44.81,12.52,19.91
27,pgd,10,2,0.01,5.36 / 9.45,24.13,5.36,9.45
19,pgd,10,3,0.01,2.67 / 4.97,14.02,2.67,4.97
30,pgd,10,4,0.01,1.66 / 3.34,9.97,1.66,3.34
22,pgd,10,5,0.01,1.21 / 2.48,7.93,1.21,2.48
20,pgd,10,6,0.01,1.07 / 2.28,6.81,1.07,2.28
23,pgd,10,7,0.01,0.88 / 1.97,6.16,0.88,1.97
28,pgd,10,8,0.01,0.82 / 1.95,6.18,0.82,1.95
26,pgd,10,9,0.01,0.81 / 1.99,5.51,0.81,1.99
25,pgd,10,10,0.01,0.79 / 1.99,5.88,0.79,1.99
29,pgd,10,11,0.01,0.73 / 1.79,5.9,0.73,1.79
21,pgd,10,12,0.01,0.72 / 1.79,5.74,0.72,1.79
46,pgd,20,2,0.01,4.21 / 7.51,19.71,4.21,7.51
49,pgd,20,4,0.01,1.01 / 2.21,5.6,1.01,2.21
42,pgd,20,5,0.01,0.72 / 1.7,4.39,0.72,1.7
40,pgd,20,6,0.01,0.67 / 1.57,3.98,0.67,1.57
43,pgd,20,7,0.01,0.55 / 1.38,3.32,0.55,1.38
47,pgd,20,8,0.01,0.46 / 1.28,3.44,0.46,1.28
45,pgd,20,9,0.01,0.49 / 1.36,3.44,0.49,1.36
44,pgd,20,10,0.01,0.47 / 1.27,3.37,0.47,1.27
48,pgd,20,11,0.01,0.45 / 1.25,3.62,0.45,1.25
41,pgd,20,12,0.01,0.45 / 1.27,3.6,0.45,1.27
4,pgd,40,1,0.01,12.3 / 19.4,43.62,12.3,19.4
7,pgd,40,2,0.01,3.8 / 6.73,16.7,3.8,6.73
0,pgd,40,3,0.01,1.48 / 2.99,6.66,1.48,2.99
10,pgd,40,4,0.01,0.79 / 1.79,3.57,0.79,1.79
3,pgd,40,5,0.01,0.57 / 1.36,2.75,0.57,1.36
1,pgd,40,6,0.01,0.41 / 1.14,2.35,0.41,1.14
8,pgd,40,8,0.01,0.37 / 1.04,2.11,0.37,1.04
6,pgd,40,9,0.01,0.35 / 1.06,2.32,0.35,1.06
5,pgd,40,10,0.01,0.34 / 1.01,2.47,0.34,1.01
9,pgd,40,11,0.01,0.35 / 1.01,2.57,0.35,1.01
2,pgd,40,12,0.01,0.31 / 0.93,2.57,0.31,0.93
16,pgd,100,2,0.01,3.3 / 6.12,14.48,3.3,6.12
18,pgd,100,4,0.01,0.6 / 1.38,2.53,0.6,1.38
11,pgd,100,6,0.01,0.36 / 0.88,1.64,0.36,0.88
13,pgd,100,7,0.01,0.31 / 0.86,1.77,0.31,0.86
17,pgd,100,8,0.01,0.2 / 0.7,1.69,0.2,0.7
15,pgd,100,9,0.01,0.28 / 0.8,2.05,0.28,0.8
14,pgd,100,10,0.01,0.24 / 0.74,1.89,0.24,0.74
12,pgd,100,12,0.01,0.24 / 0.69,2.18,0.24,0.69
